Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,Introduction to Software Development,2010,"J. Perez Lopez
L. Ribas i Xirgo",UOC,"C++, Java, programming, software architecture, UOC, algorithms",https://drive.google.com/file/d/12ulYrE1F8HMQWmrld6XT31drPoO-jy7_/view?usp=sharing,This book reviews the fundamentals of programming and the basic concepts of the C language. It is assumed that the reader already has prior knowledge of programming either in this language or in some other language.
,,,Stereo Depth Map Construction,2012,"Emmanuel Fuentes
Pawel Mikolajczyk
Naji Barnes-McFarlane",Rice University,"robotics, image processing, robots, 3D, graphic design",https://drive.google.com/file/d/1yImtljBmFF8DYXiYTRDPi_GYbqyNF4Gs/view?usp=sharing,"In the scope of this project we try to replicate basic Stereo Imaging given two photos taken at different horizontal positions from eachother. We are going to rebuild the 3D space possible with two images, with depths from the camera plane."
,,,Structural Separation Logic,2013,"Adam Douglas Wright
",	Imperial College London,"architecture, DOM, logic, POSIX, programming, software engineering",https://drive.google.com/file/d/1eIKj7q2arnh3mn5If1fVpsw8vrTACsr8/view?usp=sharing,"This thesis presents structural separation logic, a novel program reasoning approach for software that manipulates both standard heaps and structured data such as lists and trees. Structural separation logic builds upon existing work in both separation logic and context logic. It considers data abstractly, much as it is exposed by library interfaces, ignoring implementation details."
,,Software Testing,,,,,,,
,,,The Little Black Book on Test Design,2012,"Rickard Edgren
",Desktop publishing,"agile, heuristic, programming, QA, testing, tests, agile software development",https://drive.google.com/file/d/1x0LQgiwVCa94-dbBkmhJYymqGYgucKbG/view?usp=sharing,This manual has been written to collect and take advantage of the multiple sources of information needed for an ambitious testing system.
,,,The Future of Software Quality Assurance,2020,"Editors 
Stephan Goericke","Springer, Cham","Open Access,Software Quality Assurance,Software Management,Software Engineering,Software Testing,Software Maintenance",https://drive.google.com/file/d/1UZqN2DvqHbiwzjPqlNhBwsCD1Jko3hoo/view?usp=sharing,"This open access book, published to mark the 15th anniversary of the International Software Quality Institute (iSQI), is intended to raise the profile of software testers and their profession. It gathers contributions by respected software testing experts in order to highlight the state of the art as well as future challenges and trends. "
,,,A Software Testing Primer,2008,"Nick Jenkins",	Self-published,"agile software development, computer programming, TDD, testing",https://drive.google.com/file/d/1YtGbNOj3Ne4e-0mTLkguuQ5YrFx0EQP-/view?usp=sharing,"In this small manual, made by one of the most recognized specialists in the field of Software Testing, we find topics such as: Concept and necessity of software testing, Functional tests: regression, verification, validation, Non-functional tests: design, usability, performance,Test Planning: purpose, risks, Reports and metrics, Software Complexity"
,,,Software Testing Primer v2,2017,"Nick Jenkins",	Self-published,"agile software development, computer programming, TDD, testing",https://drive.google.com/file/d/1EBi-NKMy1b0Tt95WNS3dI32i83pSgz7Y/view?usp=sharing,
,,,Test-Driven Development: Extensive Tutorial,2016,Grzegorz Gałęzowski,	Leanpub,"agile software development, computer programming, TDD, testing",https://drive.google.com/file/d/1wiflTlbtrDPohLKh-UBOvjiWpG_YXm3H/view?usp=sharing,"As the title of the book says, this is a tutorial for test-driven development."
,,,Software Test Automation,2010,"Philip Laplante
 Fevzi Belli
Jerry Gao
Greg Kapfhammer
Keith Miller
W. Eric Wong
Dianxiang Xu",	Hindawi Publishing Corporation,"agile software development, computer programming, TDD, testing, automotive",https://drive.google.com/file/d/1IvDTp4BDkZdL44U5tBBCKizeiE9RQy7b/view?usp=sharing,This book brings together a series of articles published by different experts in the field in order to give greater coverage to a fundamental aspect of modern software development: a work paradigm that produces higher quality codes together with programs with fewer number of failures while more maintainable and scalable.
,,,What is Testing?,2014,various,CK-12,"agile software development, computer programming, TDD, testing, automotive",https://drive.google.com/file/d/1x4naeNJn75jD7nCvvaVKWG0n0cg89_f0/view?usp=sharing,A book on the process of testing a new software.
,,Web Design,,,,,,,
,,,Harvard Reference Style Guide,2009,Coventry University,Coventry University,"academic papers, web 2.0, social media, style guide",https://drive.google.com/file/d/1VHduH9QEB-FkSfmYaOZKsVa-AzHdACvv/view?usp=sharing,"The Harvard system is used to easily include in our writings and academic reflections the basic information of the sources used to quote, paraphrase or comment on ideas belonging to other authors. The main objective of this reference system is to facilitate the writing of scientific papers and to quickly and easily provide the reader with the precise information that allows him to locate the works used during the construction of a writing."
,,,How the Internet Works,2012,Taty Sena,makeuseof.com ,"web 2.0, social media, DNS, IANA, ICANN, Internet, IPs, ISP, URLs, W3C, Wi-Fi",https://drive.google.com/file/d/1-rHZvEftEyub3IraRQDTR_kZlZyjARR3/view?usp=sharing,This manual tries to explain how the Network of Networks works through each of the factors that make it possible.
,,,Up to Speed on HTML5 & CSS3,2009,"M. Jackson Wilkinson 
Jason Garber",	Refresh DC,"CSS3. HTML5, W3C, standard, web development",https://drive.google.com/file/d/1umoQb-YozmRu2qIF1qjEDxgKVfZkeSP-/view?usp=sharing,The purpose of this book is to show the new structures in web development so that we can learn how to take advantage of them from now on.
,,,Road Map for the Digital City,2012,Mayor Michael R. Bloomberg,	NYC Digitall,"crowdsourcing, culture, development, digital culture, social media, web 2.0",https://drive.google.com/file/d/1b3oNOMC6nclIP3eS86qwyHhnkqsEaKbJ/view?usp=sharing,"Road Map for the Digital City is a book which discusses how New York city has, or will turn into a Digital City. The main topics are social media, crowdsourcing and digital learning. "
,,,Synchronous e-Learning,2007,"Karen Hyder
Ann Kwinn
Ron Miazga
Matthew Murray", The eLearning Guild,"e-learning, marketing, web 2.0, social media",https://drive.google.com/file/d/1ZLXZkbbDD0nZ3yZ_cm3ctDfZAjZhAQZ1/view?usp=sharing,"This book delves into the topics of facilitating access to knowledge and the manner in which it can be done. Each of these aspects revealing its original idea, operation, state and future."
,,,The Future of Ideas,2001,Lawrence Lessig,Random House,"marketing, P2P, web 2.0, business, marketing, essays, social media",https://drive.google.com/file/d/1XUaxl9e1mj5YwcU_UDJcTF7pAwTTKuHd/view?usp=sharing,“The Future of Ideas” is an exploration back in time of how the Internet has fostered creativity and how the big companies of the past are trying to stifle it. 
,,,The Future Internet,2013,"Editors
Alex Galis 
Anastasius Gavras ",Springer,"cloud computing, internet, network, programming, web 2.0, social media",https://drive.google.com/file/d/1xmXMzmgR1P2I50UReHgivL7ONcIGd-kr/view?usp=sharing,The Future Internet Assembly (FIA) is a successful conference that brings together participants of over 150 research projects from several distinct yet interrelated areas in the European Union Framework Programme 7 (FP7). This book contains papers from the conference.
,,,"The Missing Link
An Introduction to Web Development and Programming",2014,Michael Mendez,	Open SUNY Textbooks,"HTML, Web Design, web development, Javascript, MySQL, PHP, programming",https://drive.google.com/file/d/1mwxwlsRhyFJUZyil084Pyi7-reDLJxXc/view?usp=sharing,"The Missing Link attempts to bridge the gap between conflicting educational demands. The author of this text takes a broad approach to teaching web programming and development. The result is a single resource that integrates good design practices, modern technologies, and all of the programming tools that one would need to build a successful, dynamic web site."
,,,"The Web Book
How to create Web sites and applications with HTML, CSS, Javascript, PHP and MySQL",2010,Robert Schifreen,	Self-published,"CSS, javaScript, MySQL, PHP, web development, web design, AJAX",https://drive.google.com/file/d/1l7ODzerAaXdoxu3uROclfbRnIfRsYmCk/view?usp=sharing,"The Web Book covers all the technologies that are necessary for the development of complex Web sites, be they static or dynamic."
,,,"The Woork Handbook
A collaborative book about web design and programming",2008,Antonio Lupetti,	Self-published,"accessibility, usability, HTML, tools, web design, web development, layout, MooTools, sript, web development",https://drive.google.com/file/d/17iMSmSEtKWuXjhgju3Mr8JggPlExqVR6/view?usp=sharing,"This book contains a selection of some of the articles that Antonio Lupetti wrote on his blog during the years 2007 and 2008. Some of the techniques this book touches on are AJAX, CSS, PHP, MooTools, Scriptaculous and other web design related topics."
,,,The Theory and Practice of Online learning,2011,Terry Anderson,	AU Press,"eLearning, software, technology, education",https://drive.google.com/file/d/1OHcKTFfVxMrsV5iA0-nOTVNjdrgDcYjy/view?usp=sharing,"Theory and Practice of Online Learning, edited by Terry Anderson and Fathi Elloumi, is concerned with assisting providers of online education with useful tools to carry out the teaching and learning transactions online. It presents the theory, administration, tools, and methods of designing and delivering learning online. "
,,,Set Up Your Blog With WordPress,2011,James Bruce,makeuseof.com ,"blogging, blog, tools, web 2.0, social media, free software, CMS",https://drive.google.com/file/d/1uZKCLa2kmE1FyccfyzdCwJ_jVQNdyghg/view?usp=sharing,"WordPress is a content management system focused on the creation of blogs (regularly updated websites). Developed in PHP and MySQL, under a GPL license and modifiable code and this books allows you to make your own blog using WordPress."
